clean_text,sentiment_label
would cost,1
used get email prepurchase snack time check got neither tomorrow trip get sent,1
flight cancelled flightlations one due weather one mechanical paid hotel bag held transfer vouchercompensation,0
frustrated idea great crew thanks,2
narrowly made standbylots snag trip,0
pay accommodation one cancelled flightling reason know saying lying cause weather,0
dont see aa,1
get tsa traveler id added boarding pas would included tsa precheck flying tomorro,1
agent wont hold connection arriving late flight min departure time min late flight flt gate c disappointed,0
tell flight dfw phl cancelled flightled tomorrow,1
storm storm customer service joke hour wait time speak someone never fly airline,0
would love tix velour showentered every contest still havent,1
start xweekly flight maysep,1
flight awful one lavatory functioning people lining bumping etc cant use st class bathroom ridiculous,0
need learn operation sit plane overnight realize there mech problem delay flight hour,0
cost dollar flight cancelled flightled couldnt even give food comp fly take,0
see atl congrats winner ready atlanta,1
as backwards process using credit flight even trying get hold customer relation impossible,0
rapid award member point apply taken round trip,1
next time bag underweight guy credit take business airline care,0
thanks,1
hour still call back hung automated system,0
nice rt man steel might faster wifi saying,2
thanks made,2
first time flying different ratepolicy medium bag thanks,1
take care please thanks,1
big shoutout crew bosgtjfk amp jfkgtroc amp gate crew c bos amp jfk long day delay made better,2
definitely,2
flight phoenix deboards passenger going salt lake city cant resolve simple bathroom issue,0
almost month still response online complaintquestions,0
minute flight okc make u wait minute cause gate isnt empty,0
thanks,2
hopefully guy willing cover lovely car rental living chargesi love two extra day,0
making bosgtlas non stop permanently anytime soon,1
flight delayed x still taking time amp greeting seat yes gum amp garbage,0
way laxnycarea possible,1
best seat paying customer get board first,0
friend flt ase denver cancelled flightled tomorrow help rebook,1
great flight brand new jet great seating beautiful plane big fan airline,2
trivia contest win flight question rt follow amp ill send answer enter via,1
replacing beer bravo cheer,2
vega,1
real sincere apology make day glad know flying mail important never flying sw,0
miss one probably aspen event,0
since get good transcontinental flight h pleasurerelief,2
feel sorry aa,0
also checked email file correct,1
severely upset rude c rep get shes prob stressed aw let help cld mk btr,0
help finding baggage reply asap direct detail,0
joke mail receipt yet cant mail payment fly hand right,0
im frustrated attitude toward member,0
message delayed responded,1
dont like hear anything help thanks ey another empty offer help,0
great flight bahamas even bad weather northeast thanks great service,2
understood u airway getting tsa problem,0
yes total hour hold cancelled flightlations one would think would staff decided cx drive,0
help seat assignment people flight phx hnl seat split anything great,1
minute waiting gate broken jetway different gate maybe,0
trouble getting rebooked,0
left son duke hat flight last night say mason back way locating thanks advance,1
ask new colleague handled u feb expect made whole check complaint inbox,0
ruined day amp start trip sfo gig leg changed lost paid upgrade amp st class seat amp moved econ econ,0
seat god awful,0
